,ngày,đóng_cửa,thay_đổi,phần_trăm,Mở_cửa,Cao_nhất,Thấp_nhất,Tổng_KLGD,Tổng_GTGD
0,02/07/2024,"24,050","0.25
▲",1.04,"23,800","24,100","23,700","569,630","13,699,601,500"
1,01/07/2024,"23,800","0.00
■■",0.00,"23,800","23,850","23,600","393,350","9,361,730,000"
2,28/06/2024,"23,800","-0.15
▼",-0.63,"23,950","24,000","23,750","575,100","13,687,380,000"
3,27/06/2024,"23,950","-0.15
▼",-0.63,"24,100","24,100","23,800","490,140","11,738,853,000"
4,26/06/2024,"24,100","0.05
▲",0.21,"24,050","24,100","23,600","1,013,510","24,425,591,000"
5,25/06/2024,"24,050","-0.05
▼",-0.21,"24,100","24,200","23,900","669,840","16,109,652,000"
6,24/06/2024,"24,100","-0.45
▼",-1.87,"24,550","24,600","23,900","1,421,530","34,258,873,000"
7,21/06/2024,"24,550","-0.25
▼",-1.02,"24,800","24,850","24,500","512,200","12,574,510,000"
8,20/06/2024,"24,800","0.15
▲",0.60,"24,650","24,850","24,400","1,017,090","25,223,832,000"
9,19/06/2024,"24,650","0.10
▲",0.41,"24,550","24,700","24,250","761,250","18,764,812,500"
10,18/06/2024,"24,550","0.00
■■",0.00,"24,550","24,700","24,400","572,460","14,053,893,000"
11,17/06/2024,"24,550","-0.05
▼",-0.20,"24,600","24,600","24,250","636,860","15,634,913,000"
12,14/06/2024,"24,600","-0.20
▼",-0.81,"24,800","24,900","24,600","1,103,800","27,153,480,000"
13,13/06/2024,"24,800","0.25
▲",1.01,"24,550","24,900","24,400","1,171,350","29,049,480,000"
14,12/06/2024,"24,550","0.40
▲",1.63,"24,150","24,550","23,900","1,038,890","25,504,749,500"
15,11/06/2024,"24,150","-0.25
▼",-1.04,"24,400","24,450","24,100","920,050","22,219,207,500"
16,10/06/2024,"24,400","-0.20
▼",-0.82,"24,600","24,700","24,300","767,090","18,716,996,000"
17,07/06/2024,"24,600","0.25
▲",1.02,"24,350","24,650","24,300","588,710","14,482,266,000"
18,06/06/2024,"24,350","0.00
■■",0.00,"24,350","24,500","24,300","802,770","19,547,449,500"
19,05/06/2024,"24,350","-0.15
▼",-0.62,"24,500","24,750","24,300","1,078,520","26,261,962,000"
20,04/06/2024,"24,500","-0.30
▼",-1.22,"24,800","24,800","24,450","972,220","23,819,390,000"
21,03/06/2024,"24,800","0.15
▲",0.60,"24,650","24,950","24,600","1,624,270","40,281,896,000"
22,31/05/2024,"24,650","-0.05
▼",-0.20,"24,700","25,300","24,650","1,112,240","27,416,716,000"
23,30/05/2024,"29,400","0.15
▲",0.51,"29,250","29,400","28,850","1,311,110","38,546,634,000"
24,29/05/2024,"29,250","-0.40
▼",-1.37,"29,650","29,750","29,250","1,344,700","39,332,475,000"
25,28/05/2024,"29,650","0.20
▲",0.67,"29,450","29,700","29,300","1,068,670","31,686,065,500"
26,27/05/2024,"29,450","0.20
▲",0.68,"29,250","29,850","29,250","753,550","22,192,047,500"
27,24/05/2024,"29,250","0.80
▲",2.74,"28,450","30,200","28,250","3,384,820","99,005,985,000"
28,23/05/2024,"28,450","0.50
▲",1.76,"27,950","28,500","28,000","1,044,970","29,729,396,500"
29,22/05/2024,"27,950","-0.25
▼",-0.89,"28,200","28,250","27,900","928,310","25,946,264,500"
30,21/05/2024,"28,200","-0.05
▼",-0.18,"28,250","28,300","27,850","1,082,400","30,523,680,000"
31,20/05/2024,"28,250","0.00
■■",0.00,"28,250","28,550","28,200","933,330","26,366,572,500"
32,17/05/2024,"28,250","0.00
■■",0.00,"28,250","28,400","28,200","850,410","24,024,082,500"
33,16/05/2024,"28,250","0.55
▲",1.95,"27,700","28,400","27,800","3,020,380","85,325,735,000"
34,15/05/2024,"27,700","-0.05
▼",-0.18,"27,750","27,850","27,700","780,340","21,615,418,000"
35,14/05/2024,"27,750","0.05
▲",0.18,"27,700","27,900","27,650","447,060","12,405,915,000"
36,13/05/2024,"27,700","0.00
■■",0.00,"27,700","28,000","27,650","555,120","15,376,824,000"
37,10/05/2024,"27,700","0.10
▲",0.36,"27,600","27,700","27,450","490,980,000","13,600,146,000,000"
38,09/05/2024,"27,600","0.05
▲",0.18,"27,550","27,800","27,500","410,090","11,318,484,000"
39,08/05/2024,"27,550","-0.10
▼",-0.36,"27,650","27,650","27,300","403,770","11,123,863,500"
40,02/05/2024,"27,000","0.15
▲",0.56,"26,850","27,150","26,800","479,790","12,954,330,000"
41,26/04/2024,"26,850","0.05
▲",0.19,"26,800","27,000","26,600","544,400","14,617,140,000"
42,25/04/2024,"26,800","-0.25
▼",-0.93,"27,050","27,050","26,750","514,160","13,779,488,000"
43,24/04/2024,"27,050","0.40
▲",1.48,"26,650","27,100","26,700","668,120","18,072,646,000"
44,23/04/2024,"26,650","-0.15
▼",-0.56,"26,800","26,950","26,550","854,050","22,760,432,500"
45,22/04/2024,"26,800","0.20
▲",0.75,"26,600","26,950","26,700","631,370","16,920,716,000"
46,19/04/2024,"26,600","-0.15
▼",-0.56,"26,750","26,800","26,450","1,086,250","28,894,250,000"
47,17/04/2024,"26,750","-0.40
▼",-1.50,"27,150","27,250","26,750","1,047,970","28,033,197,500"
48,16/04/2024,"27,150","0.30
▲",1.10,"26,850","27,150","26,750","1,735,040","47,106,336,000"
49,15/04/2024,"26,850","-1.15
▼",-4.28,"28,000","28,000","26,850","1,625,380","43,641,453,000"
50,12/04/2024,"28,000","0.85
▲",3.04,"27,150","28,000","27,000","976,760","27,349,280,000"
51,11/04/2024,"27,150","0.05
▲",0.18,"27,100","27,150","26,900","1,128,650","30,642,847,500"
52,10/04/2024,"27,200","-0.10
▼",-0.37,"27,300","27,600","27,100","468,380","12,739,936,000"
