ngày,đóng_cửa,thay_đổi,phần_trăm,Mở_cửa,Cao_nhất,Thấp_nhất,Tổng_KLGD,Tổng_GTGD
2024-08-22,50300.0,-0.3,-0.6,50600.0,51300.0,49900.0,273800.0,13772140000.0
2024-08-21,50600.0,1.45,2.87,49150.0,50800.0,49050.0,617090.0,31224754000.0
2024-08-20,49150.0,1.25,2.54,47900.0,49200.0,48150.0,435940.0,21426451000.0
2024-08-19,47900.0,0.4,0.84,47500.0,48500.0,47600.0,210720.0,10093488000.0
2024-08-16,47500.0,0.85,1.79,46650.0,48050.0,46750.0,238220.0,11315450000.0
2024-08-15,47000.0,-0.05,-0.11,47050.0,47450.0,46650.0,87490.0,4112030000.0
2024-08-14,47050.0,0.4,0.85,46650.0,47750.0,46800.0,170380.0,8016379000.0
2024-08-13,46650.0,-0.15,-0.32,46800.0,47150.0,46500.0,101540.0,4736841000.0
2024-08-12,46800.0,0.1,0.21,46700.0,47350.0,46500.0,135840.0,6357312000.0
2024-08-09,46700.0,0.7,1.5,46000.0,47000.0,46350.0,105090.0,4907703000.0
2024-08-08,46000.0,-0.4,-0.87,46400.0,46800.0,45700.0,142400.0,6550400000.0
2024-08-07,46400.0,-0.35,-0.75,46750.0,47400.0,46000.0,214500.0,9952800000.0
2024-08-06,46750.0,0.65,1.39,46100.0,47650.0,45850.0,180610.0,8443517500.0
2024-08-05,46100.0,-1.65,-3.58,47750.0,47200.0,45000.0,272310.0,12553491000.0
2024-08-02,47750.0,0.95,1.99,46800.0,47750.0,46500.0,196880.0,9401020000.0
2024-08-01,46800.0,-0.8,-1.71,47600.0,48900.0,46800.0,382550.0,17903340000.0
2024-07-31,47600.0,0.8,1.68,46800.0,48400.0,46900.0,316120.0,15047312000.0
2024-07-30,46800.0,-0.3,-0.64,47100.0,47350.0,46500.0,228210.0,10680228000.0
2024-07-29,47100.0,0.85,1.8,46250.0,47250.0,46350.0,104540.0,4923834000.0
2024-07-26,46250.0,0.25,0.54,46000.0,46550.0,45850.0,123830.0,5727137500.0
2024-07-25,46000.0,-0.1,-0.22,46100.0,46450.0,45500.0,146500.0,6739000000.0
2024-07-24,46100.0,0.1,0.22,46000.0,46850.0,45000.0,247800.0,11423580000.0
2024-07-23,46000.0,-1.7,-3.7,47700.0,48250.0,44500.0,335970.0,15454620000.0
2024-07-22,47700.0,0.0,0.0,47700.0,48700.0,47200.0,343810.0,16399737000.0
2024-07-19,47700.0,-0.8,-1.68,48500.0,49000.0,47500.0,308270.0,14704479000.0
2024-07-18,48500.0,0.5,1.03,48000.0,49300.0,47850.0,336270.0,16309095000.0
2024-07-17,48000.0,0.85,1.77,47150.0,50000.0,47550.0,785500.0,37704000000.0
2024-07-16,47150.0,0.6,1.27,46550.0,48300.0,46500.0,407970.0,19235785500.0
2024-07-15,46550.0,-0.05,-0.11,46600.0,47050.0,46300.0,118540.0,5518037000.0
2024-07-12,46600.0,-0.2,-0.43,46800.0,47200.0,46250.0,143560.0,6689896000.0
2024-07-11,46800.0,-0.1,-0.21,46900.0,47450.0,46800.0,129370.0,6054516000.0
2024-07-10,46900.0,-0.6,-1.28,47500.0,47900.0,46900.0,201990.0,9473331000.0
