,ngày,đóng_cửa,thay_đổi,phần_trăm,Mở_cửa,Cao_nhất,Thấp_nhất,Tổng_KLGD,Tổng_GTGD
0,09/07/2024,"40,200","-0.20
▼",-0.50,"40,400","40,550","40,150","52,770","2,121,354,000"
1,08/07/2024,"40,400","-1.00
▼",-2.48,"41,400","41,400","40,350","350,360","14,154,544,000"
2,05/07/2024,"41,400","0.00
■■",0.00,"41,400","41,450","41,100","144,540","5,983,956,000"
3,04/07/2024,"41,400","0.05
▲",0.12,"41,350","41,700","41,300","121,430","5,027,202,000"
4,03/07/2024,"41,350","-0.25
▼",-0.60,"41,600","41,650","41,250","113,800","4,705,630,000"
5,02/07/2024,"41,600","0.25
▲",0.60,"41,350","41,750","41,300","149,340","6,212,544,000"
6,01/07/2024,"41,350","0.15
▲",0.36,"41,200","41,400","41,050","90,330","3,735,145,500"
7,28/06/2024,"41,200","0.20
▲",0.49,"41,000","41,350","40,900","178,500","7,354,200,000"
8,27/06/2024,"41,000","-0.20
▼",-0.49,"41,200","41,400","41,000","131,210","5,379,610,000"
9,26/06/2024,"41,200","0.00
■■",0.00,"41,200","41,700","41,150","191,850","7,904,220,000"
10,25/06/2024,"41,200","0.10
▲",0.24,"41,100","42,000","41,150","159,720","6,580,464,000"
11,24/06/2024,"41,100","-0.55
▼",-1.34,"41,650","42,300","41,100","280,450","11,526,495,000"
12,21/06/2024,"41,650","0.20
▲",0.48,"41,450","41,650","41,150","268,390","11,178,443,500"
13,20/06/2024,"41,450","-0.05
▼",-0.12,"41,500","41,800","41,350","235,710","9,770,179,500"
14,19/06/2024,"41,500","-0.60
▼",-1.45,"42,100","42,450","41,450","327,120","13,575,480,000"
15,18/06/2024,"42,100","0.10
▲",0.24,"42,000","42,950","42,100","183,240","7,714,404,000"
16,17/06/2024,"42,000","0.00
■■",0.00,"42,000","42,950","42,000","205,970","8,650,740,000"
17,14/06/2024,"42,000","-1.20
▼",-2.86,"43,200","43,250","42,000","271,840","11,417,280,000"
18,13/06/2024,"43,200","-0.10
▼",-0.23,"43,300","43,500","42,900","214,400","9,262,080,000"
19,12/06/2024,"43,300","0.10
▲",0.23,"43,200","43,500","42,500","229,250","9,926,525,000"
20,11/06/2024,"43,200","-0.25
▼",-0.58,"43,450","43,450","42,550","483,500","20,887,200,000"
21,10/06/2024,"43,450","-0.05
▼",-0.12,"43,500","43,900","43,400","158,240","6,875,528,000"
