chỉ tiêu,2020,2021,2022,2023
"I.Tiền mặt, vàng bạc, đá quý","12,294,193,000,000","12,660,583,000,000","13,745,228,000,000","11,029,204,000,000"
II.Tiền gửi tại Ngân hàng Nhà nước,"49,432,144,000,000","68,851,444,000,000","111,418,448,000,000","51,615,657,000,000"
III. Tiền gửi và cho vay các tổ chức tín dụng khác,"85,347,858,000,000","135,940,229,000,000","221,177,798,000,000","211,808,501,000,000"
1.Tiền gửi tại các tổ chức tín dụng khác,"62,191,227,000,000","112,042,988,000,000","203,466,918,000,000","197,329,427,000,000"
2.Cho vay các tổ chức tín dụng khác,"23,295,457,000,000","24,026,575,000,000","17,795,874,000,000","14,564,284,000,000"
3.Dự phòng rủi ro cho vay các tổ chức tín dụng khác,"-138,826,000,000","-129,334,000,000","-84,994,000,000","-85,210,000,000"
IV.Chứng khoán kinh doanh,"10,169,711,000,000","6,068,913,000,000","1,701,464,000,000","6,972,474,000,000"
1.Chứng khoán kinh doanh,"10,184,436,000,000","6,083,165,000,000","1,748,521,000,000","7,003,656,000,000"
2.Dự phòng giảm giá chứng khoán kinh doanh,"-14,725,000,000","-14,252,000,000","-47,057,000,000","-31,182,000,000"
VI.Cho vay khách hàng,"1,195,239,968,000,000","1,325,528,925,000,000","1,483,995,823,000,000","1,737,244,618,000,000"
1.Cho vay khách hàng,"1,214,295,916,000,000","1,354,635,643,000,000","1,522,221,714,000,000","1,777,664,882,000,000"
2.Dự phòng rủi ro cho vay khách hàng,"-19,055,948,000,000","-29,103,718,000,000","-38,225,891,000,000","-40,420,264,000,000"
VIII.Chứng khoán đầu tư,"125,114,962,000,000","177,088,795,000,000","235,636,449,000,000","222,393,123,000,000"
1.Chứng khoán đầu tư sẵn sàng để bán,"112,192,338,000,000","111,675,314,000,000","162,283,083,000,000","127,572,432,000,000"
2.Chứng khoán đầu tư giữ đến ngày đáo hạn,"13,501,317,000,000","65,711,393,000,000","73,734,542,000,000","95,722,385,000,000"
3.Dự phòng giảm giá chứng khoán đầu tư,"-578,693,000,000","-297,913,000,000","-381,176,000,000","-901,694,000,000"
IX.Góp vốn đầu tư dài hạn,"2,760,622,000,000","2,847,647,000,000","2,978,193,000,000","3,113,075,000,000"
2.Vốn góp liên doanh,"2,039,869,000,000","2,134,086,000,000","2,243,217,000,000","2,314,557,000,000"
3.Đầu tư vào công ty liên kết,"603,605,000,000","595,596,000,000","628,324,000,000","697,727,000,000"
4.Đầu tư dài hạn khác,"215,470,000,000","215,617,000,000","215,076,000,000","214,888,000,000"
5.Dự phòng giảm giá đầu tư dài hạn,"-98,322,000,000","-97,652,000,000","-108,424,000,000","-114,097,000,000"
X.Tài sản cố định,"10,422,121,000,000","10,741,232,000,000","10,534,119,000,000","11,096,285,000,000"
1.Tài sản cố định hữu hình,"6,162,330,000,000","6,338,050,000,000","6,097,956,000,000","6,401,506,000,000"
a.Nguyên giá tài sản cố định,"13,353,310,000,000","14,264,308,000,000","14,594,234,000,000","15,608,492,000,000"
b.Hao mòn tài sản cố định,"-7,190,980,000,000","-7,926,258,000,000","-8,496,278,000,000","-9,206,986,000,000"
3.Tài sản cố định vô hình,"4,259,791,000,000","4,403,182,000,000","4,436,163,000,000","4,694,779,000,000"
a.Nguyên giá tài sản cố định,"6,007,344,000,000","6,407,788,000,000","6,639,598,000,000","7,153,285,000,000"
b.Hao mòn tài sản cố định,"-1,747,553,000,000","-2,004,606,000,000","-2,203,435,000,000","-2,458,506,000,000"
XII.Tài sản có khác,"25,736,200,000,000","21,775,742,000,000","38,383,648,000,000","45,541,377,000,000"
