chỉ tiêu,Quý  2-2023,Quý  3-2023,Quý  1-2024,Quý  2-2024
"I.Tiền mặt, vàng bạc, đá quý","11,488,667,000,000","10,731,001,000,000","10,421,506,000,000","10,282,845,000,000"
II.Tiền gửi tại Ngân hàng Nhà nước,"47,536,512,000,000","42,654,276,000,000","36,833,913,000,000","52,441,064,000,000"
III. Tiền gửi và cho vay các tổ chức tín dụng khác,"199,683,000,000,000","194,288,953,000,000","231,693,608,000,000","266,799,524,000,000"
1.Tiền gửi tại các tổ chức tín dụng khác,"186,326,791,000,000","178,524,343,000,000","220,778,564,000,000","256,347,414,000,000"
2.Cho vay các tổ chức tín dụng khác,"13,439,406,000,000","15,849,835,000,000","10,998,123,000,000","10,544,382,000,000"
3.Dự phòng rủi ro cho vay các tổ chức tín dụng khác,"-83,197,000,000","-85,225,000,000","-83,079,000,000","-92,272,000,000"
IV.Chứng khoán kinh doanh,"3,448,599,000,000","5,577,810,000,000","6,972,570,000,000","8,185,847,000,000"
1.Chứng khoán kinh doanh,"3,469,114,000,000","5,598,114,000,000","7,003,036,000,000","8,224,631,000,000"
2.Dự phòng giảm giá chứng khoán kinh doanh,"-20,515,000,000","-20,304,000,000","-30,466,000,000","-38,784,000,000"
VI.Cho vay khách hàng,"1,589,448,060,000,000","1,611,643,506","1,752,683,396,000,000","1,844,886,186,000,000"
1.Cho vay khách hàng,"1,629,066,617,000,000","1,653,452,141","1,793,930,234,000,000","1,882,815,402,000,000"
2.Dự phòng rủi ro cho vay khách hàng,"-39,618,557,000,000","-20,304,000,000","-41,246,838,000,000","-37,929,216,000,000"
VIII.Chứng khoán đầu tư,"219,198,829,000,000","207,553,029,000,000","220,214,344,000,000","252,220,546,000,000"
1.Chứng khoán đầu tư sẵn sàng để bán,"147,037,878,000,000","128,583,434,000,000","125,391,541,000,000","149,159,578,000,000"
2.Chứng khoán đầu tư giữ đến ngày đáo hạn,"72,513,241,000,000","79,616,354,000,000","96,015,588,000,000","104,253,101,000,000"
3.Dự phòng giảm giá chứng khoán đầu tư,"-352,290,000,000","-646,759,000,000","-1,192,785,000,000","-1,192,133,000,000"
IX.Góp vốn đầu tư dài hạn,"3,003,368,000,000","3,139,652,000,000","3,218,494,000,000","3,388,638,000,000"
3.Đầu tư vào công ty liên kết,"664,144,000,000","701,306,000,000","738,773,000,000","770,280,000,000"
4.Đầu tư dài hạn khác,"219,426,000,000","214,905,000,000","214,871,000,000","214,837,000,000"
5.Dự phòng giảm giá đầu tư dài hạn,"-113,606,000,000","-113,919,000,000","-114,758,000,000","-114,705,000,000"
X.Tài sản cố định,"10,612,120,000,000","10,485,941,000,000","10,891,070,000,000","11,585,543,000,000"
1.Tài sản cố định hữu hình,"6,111,439,000,000","5,997,552,000,000","6,235,651,000,000","6,512,484,000,000"
a.Nguyên giá tài sản cố định,"15,085,989,000,000","15,169,849,000,000","15,643,110,000,000","16,163,505,000,000"
b.Hao mòn tài sản cố định,"-8,974,550,000,000","-9,172,297,000,000","-9,407,459,000,000","-9,651,021,000,000"
3.Tài sản cố định vô hình,"4,500,681,000,000","4,488,389,000,000","4,655,419,000,000","5,073,059,000,000"
a.Nguyên giá tài sản cố định,"6,839,542,000,000","6,890,978,000,000","7,164,629,000,000","7,699,379,000,000"
b.Hao mòn tài sản cố định,"-2,338,861,000,000","-2,402,589,000,000","-2,509,210,000,000","-2,626,320,000,000"
XII.Tài sản có khác,"40,088,056,000,000","46,780,409,000,000","55,767,532,000,000","71,263,261,000,000"
1.Các khoản phải thu,"23,352,945,000,000","28,601,146,000,000","36,064,461,000,000","48,307,299,000,000"
2.Các khoản lãi và chi phí phải thu,"13,976,803,000,000","15,290,627,000,000","15,895,496,000,000","16,743,210,000,000"
3.Tài sản thuế TNDN hoãn lại,"35,577,000,000","36,266,000,000","37,537,000,000","38,085,000,000"
4.Tài sản có khác,"3,348,332,000,000","3,474,560,000,000","4,080,022,000,000","6,486,182,000,000"
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,"-625,601,000,000","-622,190,000,000","-309,984,000,000","-311,515,000,000"
TỔNG TÀI SẢN CÓ,"2,124,802,899,000,000","2,132,854,577,000,000","2,328,730,752,000,000","2,521,053,454,000,000"
I.Các khoản nợ chính phủ và Ngân hàng Nhà nước,"51,539,169,000,000","13,241,998,000,000","57,022,834,000,000","131,128,722,000,000"
II.Tiền gửi và vay các tổ chức tín dụng khác,"191,572,674,000,000","187,836,067,000,000","167,810,233,000,000","193,205,817,000,000"
1.Tiền gửi của các tổ chức tín dụng khác,"158,440,535,000,000","146,786,146,000,000","135,529,672,000,000","166,266,167,000,000"
2.Vay các tổ chức tín dụng khác,"33,132,139,000,000","41,049,911,000,000","32,280,561,000,000","26,939,650,000,000"
III.Tiền gửi của khách hàng,"1,545,569,148,000,000","1,583,543,509,000,000","1,734,779,072,000,000","1,806,926,338,000,000"
"V. Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","12,840,055,000,000","12,498,953,000,000","12,190,069,000,000","11,963,263,000,000"
VI.Phát hành giấy tờ có giá,"156,249,679,000,000","162,017,847,000,000","180,564,550,000,000","197,648,493,000,000"
VII.Các khoản nợ khác,"52,862,837,000,000","54,230,558,000,000","47,346,159,000,000","45,082,775,000,000"
"1.Các khoản lãi, phí phải trả","36,768,978,000,000","38,613,994,000,000","31,765,786,000,000","29,154,519,000,000"
a.Vốn điều lệ,"50,585,239,000,000","50,585,239,000,000","57,004,359,000,000","57,004,359,000,000"
c.Thặng dư vốn cổ phần,"15,351,407,000,000","15,351,407,000,000","15,361,020,000,000","15,361,020,000,000"
g.Vốn khác,"267,851,000,000","345,918,000,000","345,918,000,000","349,870,000,000"
2.Quỹ của Tổ chức tín dụng,"12,481,194,000,000","12,431,580,000,000","15,670,702,000,000","15,705,630,000,000"
3.Chênh lệch tỷ giá hối đoái,"-711,622,000,000","-475,072,000,000","-557,329,000,000","-717,905,000,000"
5.Lợi nhuận để lại chưa phân phối/Lỗ lũy kế,"31,427,653,000,000","36,007,993,000,000","36,136,858,000,000","41,950,736,000,000"
VIII.Vốn chủ sở hữu,"114,169,337,000,000","114,247,065,000,000","123,961,528,000,000","134,699,703,000,000"
IX.Lợi ích của cổ đông thiểu số,"4,767,615,000,000","4,840,773,000,000","5,056,307,000,000","5,045,993,000,000"
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"2,124,802,899,000,000","2,132,854,577,000,000","2,328,730,752,000,000","2,521,053,454,000,000"
