ngày,đóng_cửa,thay_đổi,phần_trăm,Mở_cửa,Cao_nhất,Thấp_nhất,Tổng_KLGD,Tổng_GTGD
2020-12-31,47900.0,0.6,1.25,47300.0,47900.0,47000.0,1342380.0,64300002000.0
2020-12-30,48050.0,-0.3,-0.62,48350.0,48800.0,48000.0,1442160.0,69295788000.0
2020-12-29,48350.0,0.9,1.86,47450.0,48650.0,47300.0,303127.0,14656190450.0
2020-12-28,47450.0,0.9,1.9,46600.0,48000.0,46800.0,315628.0,14976548600.0
2020-12-27,46600.0,1.1,2.36,45500.0,46700.0,45000.0,156290.0,7283114000.0
2020-12-25,46600.0,1.1,2.36,45500.0,46700.0,45000.0,156290.0,7283114000.0
2020-12-24,45500.0,-1.1,-2.42,46600.0,46800.0,43900.0,313518.0,14265069000.0
2020-12-23,46600.0,-0.3,-0.64,46850.0,47500.0,46400.0,210562.0,9812189200.0
2020-12-22,46850.0,-0.6,-1.28,47450.0,47450.0,46600.0,273523.0,12814552550.0
2020-12-21,47450.0,0.5,1.05,47000.0,48000.0,46500.0,247624.0,11749758800.0
2020-12-20,47000.0,0.6,1.28,46400.0,47500.0,46400.0,243254.0,11432938000.0
2020-12-18,47000.0,0.6,1.28,46400.0,47500.0,46400.0,243254.0,11432938000.0
2020-12-17,46400.0,-1.0,-2.16,47400.0,47600.0,46400.0,389458.0,18070851200.0
2020-12-16,47400.0,1.3,2.74,46100.0,47450.0,46100.0,309305.0,14661057000.0
2020-12-15,46100.0,-0.4,-0.87,46500.0,47000.0,45850.0,342238.0,15777171800.0
2020-12-14,46500.0,0.7,1.51,45800.0,46550.0,45850.0,293549.0,13650028500.0
2020-12-13,45800.0,1.8,3.93,43950.0,45800.0,43600.0,456695.0,20916631000.0
2020-12-11,45800.0,1.8,3.93,43950.0,45800.0,43600.0,456695.0,20916631000.0
2020-12-10,43950.0,0.2,0.46,43800.0,44800.0,43700.0,383086.0,16836629700.0
2020-12-09,43800.0,1.1,2.51,42700.0,44000.0,42750.0,367983.0,16117655400.0
2020-12-08,42700.0,-0.3,-0.7,43000.0,43300.0,42450.0,215174.0,9187929800.0
2020-12-07,43000.0,1.4,3.26,41650.0,43200.0,41850.0,412083.0,17719569000.0
2020-12-04,41950.0,0.35,0.83,41600.0,42300.0,41500.0,1977650.0,82962417500.0
2020-12-03,41600.0,0.1,0.24,41500.0,41900.0,41400.0,183679.0,7641046400.0
2020-12-02,41500.0,-0.2,-0.48,41700.0,42000.0,41400.0,183312.0,7607448000.0
2020-12-01,41700.0,0.0,0.0,41700.0,41800.0,40800.0,291347.0,12149169900.0
2020-11-30,42450.0,-0.15,-0.35,42600.0,42850.0,42050.0,2323620.0,98637669000.0
2020-11-27,42450.0,-0.15,-0.35,42600.0,42850.0,42050.0,2323620.0,98637669000.0
2020-11-26,42600.0,1.3,3.05,41300.0,42600.0,41000.0,4356380.0,185581788000.0
2020-11-25,41300.0,0.6,1.45,40700.0,41450.0,40550.0,2775000.0,114607500000.0
2020-11-24,40700.0,-0.4,-0.98,41100.0,41100.0,40400.0,1958510.0,79711357000.0
2020-11-23,41100.0,-0.1,-0.24,41200.0,41500.0,40550.0,1315280.0,54058008000.0
