chỉ tiêu,2020,2021,2022,2023,Quý 1-2024,Quý 2-2024
1.Thu nhập lãi và các khoản thu nhập tương tự,"100,687,502,000,000","101,007,908,000,000","121,110,719,000,000","152,761,316,000,000","33,595,982,000,000","33,896,901,000,000"
5. Thu nhập từ hoạt động khác,"7,992,789,000,000","8,957,444,000,000","6,526,421,000,000","6,542,525,000,000","1,148,615,000,000","2,045,921,000,000"
6. Chi phí hoạt động khác,"2,900,221,000,000","2,778,592,000,000","2,316,094,000,000","4,474,726,000,000","648,299,000,000","1,014,475,000,000"
VI. Lãi/lỗ thuần từ hoạt động khác,"5,092,568,000,000","6,178,852,000,000","4,210,327,000,000","2,067,799,000,000","500,316,000,000","1,031,446,000,000"
"VII. Thu nhập từ góp vốn, mua cổ phần","154,267,000,000","187,622,000,000","290,952,000,000","355,275,000,000","95,644,000,000","99,423,000,000"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,"32,344,184,000,000","43,028,568,000,000","47,024,970,000,000","47,932,419,000,000","11,778,628,000,000","13,516,733,000,000"
X. Chi phí dự phòng rủi ro tín dụng,"23,317,941,000,000","29,480,917,000,000","24,015,485,000,000","20,343,515,000,000","4,388,714,000,000","5,357,739,000,000"
XI. Tổng lợi nhuận trước thuế,"9,026,243,000,000","13,547,651,000,000","23,009,485,000,000","27,588,904,000,000","7,389,914,000,000","8,158,994,000,000"
7. Chi phí thuế TNDN hiện hành,"1,799,378,000,000","2,707,403,000,000","4,604,520,000,000","5,615,711,000,000","1,474,084,000,000","1,628,054,000,000"
8. Chi phí thuế TNDN hoãn lại,"3,300,000,000","-1,023,000,000","-15,049,000,000","-3,948,000,000","251,000,000","-3,056,000,000"
2. Chi phí lãi và các chi phí tương tự,"64,890,703,000,000","54,184,600,000,000","65,041,035,000,000","96,625,750,000,000","20,054,622,000,000","19,059,130,000,000"
XIII. Lợi nhuận sau thuế,"7,223,565,000,000","10,841,271,000,000","18,420,014,000,000","21,977,141,000,000","5,915,579,000,000","6,533,996,000,000"
XIV. Lợi ích của cổ đông thiểu số,"226,943,000,000","301,133,000,000","261,512,000,000","472,223,000,000","102,931,000,000","165,104,000,000"
XV. Lãi cơ bản trên cổ phiếu,"1,447","1,729","3,125","3,314",,
I. Thu nhập lãi thuần,"35,796,799,000,000","46,823,308,000,000","56,069,684,000,000","56,135,566,000,000","13,541,360,000,000","14,837,771,000,000"
3. Thu nhập từ hoạt động dịch vụ,"8,618,090,000,000","10,370,092,000,000","10,344,181,000,000","11,893,400,000,000","3,298,301,000,000","3,780,603,000,000"
4. Chi phí hoạt động dịch vụ,"3,351,709,000,000","3,755,811,000,000","4,696,116,000,000","5,323,530,000,000","1,605,288,000,000","1,841,559,000,000"
II. Lãi/lỗ thuần từ hoạt động dịch vụ,"5,266,381,000,000","6,614,281,000,000","5,648,065,000,000","6,569,870,000,000","1,693,013,000,000","1,939,044,000,000"
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối,"1,732,324,000,000","1,896,154,000,000","3,136,613,000,000","4,707,371,000,000","1,465,144,000,000","1,725,940,000,000"
IV. Lãi /lỗ thuần từ mua bán chứng khoán kinh doanh,"478,668,000,000","586,241,000,000","-31,664,000,000","305,396,000,000","166,849,000,000","78,745,000,000"
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,"1,516,137,000,000","207,431,000,000","258,467,000,000","2,871,740,000,000","-291,092,000,000","512,528,000,000"
