chỉ tiêu,Quý  2-2023,Quý  3-2023,Quý  1-2024,Quý  2-2024
1.Thu nhập lãi và các khoản thu nhập tương tự,"39,685,515,000,000","38,104,286,000,000","33,595,982,000,000","33,896,901,000,000"
5. Thu nhập từ hoạt động khác,"1,407,098,000,000","1,478,082,000,000","1,148,615,000,000","2,045,921,000,000"
6. Chi phí hoạt động khác,"372,014,000,000","737,064,000,000","648,299,000,000","1,014,475,000,000"
VI. Lãi/lỗ thuần từ hoạt động khác,"1,035,084,000,000","741,018,000,000","500,316,000,000","1,031,446,000,000"
"VII. Thu nhập từ góp vốn, mua cổ phần","64,733,000,000","96,319,000,000","95,644,000,000","99,423,000,000"
VIII. Chi phí hoạt động,"6,370,229,000,000","6,044,456,000,000","5,392,606,000,000","6,708,164,000,000"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,"11,134,979,000,000","11,842,405,000,000","11,778,628,000,000","13,516,733,000,000"
X. Chi phí dự phòng rủi ro tín dụng,"4,192,156,000,000","5,949,617,000,000","4,388,714,000,000","5,357,739,000,000"
XI. Tổng lợi nhuận trước thuế,"6,942,823,000,000","5,892,788,000,000","7,389,914,000,000","8,158,994,000,000"
7. Chi phí thuế TNDN hiện hành,"1,388,542,000,000","1,164,722,000,000","1,474,084,000,000","1,628,054,000,000"
8. Chi phí thuế TNDN hoãn lại,"-2,881,000,000","131,000,000","251,000,000","-3,056,000,000"
2. Chi phí lãi và các chi phí tương tự,"25,878,522,000,000","24,321,190,000,000","20,054,622,000,000","19,059,130,000,000"
XIII. Lợi nhuận sau thuế,"5,557,162,000,000","4,727,935,000,000","5,915,579,000,000","6,533,996,000,000"
XIV. Lợi ích của cổ đông thiểu số,"131,584,000,000","145,055,000,000","102,931,000,000","165,104,000,000"
I. Thu nhập lãi thuần,"13,806,993,000,000","13,783,096,000,000","13,541,360,000,000","14,837,771,000,000"
3. Thu nhập từ hoạt động dịch vụ,"3,082,369,000,000","2,894,636,000,000","3,298,301,000,000","3,780,603,000,000"
4. Chi phí hoạt động dịch vụ,"1,410,904,000,000","1,130,384,000,000","1,605,288,000,000","1,841,559,000,000"
II. Lãi/lỗ thuần từ hoạt động dịch vụ,"1,671,465,000,000","1,764,252,000,000","1,693,013,000,000","1,939,044,000,000"
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối,"784,436,000,000","1,682,640,000,000","1,465,144,000,000","1,725,940,000,000"
IV. Lãi /lỗ thuần từ mua bán chứng khoán kinh doanh,"113,573,000,000","114,410,000,000","166,849,000,000","78,745,000,000"
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,"28,924,000,000","-294,874,000,000","-291,092,000,000","512,528,000,000"
