chỉ tiêu,Quý  2-2023,Quý  3-2023,Quý  1-2024,Quý  2-2024
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,"75,912,092,000,000","112,165,377,000,000","33,049,473,000,000","65,928,181,000,000"
9. (Tăng)/Giảm các khoản tiền gửi và cho vay các TCTD khác,"-3,179,156,000,000","-2,576,567,000,000","-329,447,000,000","-1,584,638,000,000"
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,"15,293,864,000,000","24,793,572,000,000","2,091,837,000,000","-30,964,835,000,000"
12. (Tăng)/Giảm các khoản cho vay khách hàng,"-106,844,903,000,000","-131,230,435,000,000","-16,265,349,000,000","-105,150,518,000,000"
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,"-8,322,855,000,000","-11,821,095,000,000","-3,621,809,000,000","-12,293,461,000,000"
14. (Tăng)/Giảm khác về tài sản hoạt động,"-67,565,000,000","-5,770,480,000,000","-9,470,950,000,000","-24,852,065,000,000"
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,"-29,988,000,000","-129,522,000,000","21,126,346,000,000","95,232,234,000,000"
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng","14,351,376,000,000","10,614,773,000,000","-14,020,757,000,000","11,374,829,000,000"
17. Tăng/(Giảm) tiền gửi của khách hàng(bao gồm cả kho bạc nhà nước),"-29,212,563,000,000","-29,435,833,000,000","30,088,891,000,000","102,236,154,000,000"
18. Tăng(/Giảm) phát hành giấy tờ có giá(ngoại trừ giấy tờ có giá phát hành được tính vào hoạt động tài chính),"-801,922,000,000","4,966,248,000,000","-8,922,186,000,000","8,161,754,000,000"
2. Chi phí lãi và các chi phí tương tự đã trả,"-38,960,191,000,000","-61,436,364,000,000","-22,722,815,000,000","-44,393,216,000,000"
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","-397,571,000,000","-738,674,000,000","-17,660,000,000","-244,466,000,000"
21. Tăng/ (Giảm) khác về công nợ hoạt động,"271,954,000,000","-1,479,134,000,000","510,588,000,000","-941,250,000,000"
I. Lưu chuyển tiền thuần từ hoạt động kinh doanh,"-89,557,886,000,000","-100,105,056,000,000","4,466,366,000,000","54,065,131,000,000"
1. Mua sắm tài sản cố định(*),"-1,352,199,000,000","-1,226,388,000,000","-309,550,000,000","-643,325,000,000"
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ","1,842,000,000","5,084,000,000","937,000,000","3,293,000,000"
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ(*)","-178,000,000","-430,000,000","-1,305,000,000","-1,835,000,000"
3. Thu nhập từ hoạt động dịch vụ nhận được,"3,188,864,000,000","4,955,565,000,000","1,693,013,000,000","3,632,059,000,000"
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn","94,173,000,000","128,067,000,000","3,939,000,000","74,168,000,000"
II. Lưu chuyển tiền thuần từ hoạt động đầu tư,"-1,256,362,000,000","-1,093,667,000,000","-305,979,000,000","-567,699,000,000"
"4. Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh(ngoại tệ,vàng bạc,chứng khoán)","1,609,797,000,000","3,406,352,000,000","1,631,276,000,000","3,956,151,000,000"
IV.Lưu chuyển tiền thuần trong kỳ,"-90,814,248,000,000","-101,243,578,000,000","4,160,387,000,000","53,488,795,000,000"
V. Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,"297,687,381,000,000","297,687,381,000,000","224,739,002,000,000","224,739,002,000,000"
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"206,873,133,000,000","196,443,803,000,000","228,899,389,000,000","278,227,797,000,000"
5. Thu nhập khác,"-181,634,000,000","-559,404,000,000","-391,629,000,000","-1,140,323,000,000"
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro","2,191,658,000,000","3,307,458,000,000","892,313,000,000","2,670,630,000,000"
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ(*)","-11,382,523,000,000","-16,261,900,000,000","-7,053,660,000,000","-12,720,936,000,000"
8. Tiền thuế thu nhập thực nộp trong kỳ(*),"-3,739,146,000,000","-4,311,015,000,000","-3,438,635,000,000","-4,911,343,000,000"
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,"28,638,917,000,000","41,266,069,000,000","3,659,336,000,000","13,021,203,000,000"
