CK,EPS,P/E,P/B,ROAE,Beta
VCB,5962,14.6,2.7,20.50%,0.5
BID,4006,11.5,2,18.40%,1
LPB,3261,8.3,1.8,22.40%,0.9
SSB,1864,11.7,1.7,13.80%,0.4
HDB,4137,5.9,1.5,25.20%,0.8
ACB,3676,6.3,1.4,23.40%,0.8
EIB,1273,14.2,1.3,9.10%,1
PGB,606,25.2,1.3,5.00%,0.7
VIB,3048,6.6,1.3,23.50%,1.1
CTG,3781,8,1.2,-,1.1
MBB,4018,5.7,1.2,21.90%,1
NAB,2656,6.8,1.1,19.40%,0.2
SGB,819,17.6,1.1,5.70%,0.6
TCB,3047,7.3,1.1,15.50%,1.1
VPB,1460,12.4,1.1,9.20%,1
BVB,292,41,1,1.60%,0.8
NVB,-1210,-,1,-13.10%,1.1
STB,4340,6.3,1,18.00%,1.2
TPB,2154,7.8,1,13.80%,1.2
BAB,991,11.9,0.9,7.90%,0.3
OCB,1850,7.5,0.9,15.60%,1.1
MSB,2366,5.7,0.8,15.20%,1.2
KLB,1916,6.1,0.7,10.30%,0.7
SHB,2218,4.6,0.7,15.80%,1.1
VBB,1174,8.4,0.7,8.20%,0.6
ABB,365,20.8,0.6,0.90%,0.7
VAB,1481,6.1,0.6,9.50%,0.9
